family,block,run,sn,auc20,auc50,prior_award_days_total,prior_transaction_count_total,days_since_last_award,prior_abs_award_mean,prior_abs_award_median,prior_abs_award_max,prior_signed_award_mean,current_to_prior_abs_mean,current_to_prior_abs_median,current_award_abs_percentile,prior_response_count_60d,prior_response_mean_60d,prior_response_median_60d,prior_max_gain_mean_60d,prior_hit_rate_10pct_within_60d,prior_hit_rate_20pct_within_60d,prior_response_count_20d,prior_response_mean_20d,prior_response_median_20d,prior_max_gain_mean_20d,prior_hit_rate_10pct_within_20d,prior_hit_rate_20pct_within_20d,prior_award_days_30d,prior_transactions_30d,prior_abs_dollars_30d,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_negative_dollars_30d,award_frequency_acceleration_30d,award_dollar_acceleration_30d,pre_return_5d,pre_return_20d,pre_return_60d,pre_return_120d,relative_strength_ita_5d,relative_strength_ita_20d,relative_strength_ita_60d,relative_strength_ita_120d,relative_strength_spy_5d,relative_strength_spy_20d,relative_strength_spy_60d,relative_strength_spy_120d,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,current_agency_count,current_award_type_count
rel_strength_ita,1,5,-8.069819594439053,0.4315771820738409,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,
rel_strength_ita,1,6,-24.171719790092236,0.4603059934466834,0.41361347456155584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,
rel_strength_ita,1,7,-40.816915467149414,0.49934853840398363,0.5281298836603576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,
rel_strength_ita,1,8,-37.29612861010772,0.42090869217472077,0.5079874978294843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,
rel_strength_spy,1,1,-3.4063651565846724,0.48579684718387994,0.5086820628581351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
rel_strength_spy,1,2,-11.803405391988445,0.523207513093733,0.5569977426636569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,
rel_strength_spy,1,3,-24.56623281863169,0.5109909956397224,0.5849973953811425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,,
rel_strength_spy,1,4,-11.399427634573332,0.5093333161330272,0.5646379579788158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,
rel_strength_spy,1,5,-6.368277403002967,0.4775213498800279,0.5224431324882792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,
rel_strength_spy,1,6,-21.03817620345624,0.5156286281895818,0.5621635700642472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,
rel_strength_spy,1,7,-32.21074744010603,0.4893250599860677,0.5895554783816634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,
rel_strength_spy,1,8,-21.166855324594952,0.5160285353079285,0.5507466574057996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,
award_size,1,1,-1.9854847081423372,0.4743317681054723,0.5802222608091683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
award_size,1,2,-4.289835847179652,0.4808270337212003,0.5313422469178677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0
award_size,1,3,-1.986310594546214,0.5055535488531696,0.5663960757075881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0
award_size,1,4,-3.759500061365098,0.5427997368353157,0.6126497655843028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0
award_size,1,5,-3.985239923097928,0.47812766067236,0.5128060427157493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0
award_size,1,6,-17.724454961150077,0.4451740240976289,0.6073102969265498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0
award_size,1,7,-2.9163179392197938,0.48484868030650946,0.41637002951901375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
award_size,1,8,-15.974686588943365,0.5344081374648469,0.743705504427852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0
