ticker,award_date,award_abs,preaward_close,shares_known_at_award,market_cap_before,sec_cik,revenue_concept,ltm_revenue_before,ltm_revenue_method,ltm_revenue_source,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
BA,2025-12-10,6477965.56,200.3699951171875,760095468.0,152300325211.75635,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.2534154480583825e-05,-4.371262195939284,11.182700830699932,8.461403048629162e-05
BA,2025-12-11,4198725.0,198.72000122070312,783071257.0,155611921146.93753,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.698202662786566e-05,-4.568925433454188,11.192042864440408,5.484299690434828e-05
BA,2025-12-15,1131081.0,204.3800048828125,783071257.0,160044107329.25012,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,7.067307999494714e-06,-5.150745981337577,11.20423968846764,1.4773978239005213e-05
BA,2025-12-16,150277584.84,205.5,783071257.0,160921143313.5,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0009338585455314306,-3.029718902728816,11.206613109488213,0.0019628990039054846
BA,2025-12-17,185175820.88,206.7100067138672,783071257.0,161868664791.90643,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0011439880666097824,-2.941578505816205,11.20916278436119,0.0024187335372719077
BA,2025-12-18,632972.0,206.3300018310547,783071257.0,161571093890.6563,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,3.917606700294828e-06,-5.40697916621401,11.208363665308067,8.267767342833631e-06
BA,2025-12-19,16669480.0,208.27000427246094,783071257.0,163090254041.03137,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00010221015411384531,-3.9905059568769046,11.21242800921523,0.00021773377395211535
BA,2025-12-22,7468959.16,214.0800018310547,783071257.0,167639896132.4063,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,4.4553589761835835e-05,-4.351117298339818,11.224377383078433,9.755821209785916e-05
BA,2025-12-23,1487938.43,216.83999633789062,783071257.0,169801168500.1874,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.762827977820175e-06,-5.0573557138136636,11.229940674550086,1.9435186326885147e-05
BA,2026-01-08,328624.88,228.1199951171875,783071257.0,178634211323.24988,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.8396525366875696e-06,-5.735264196364954,11.251964636893304,4.292439556420539e-06
BA,2026-01-12,49432.0,234.52999877929688,783071257.0,183653700948.31247,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,2.691587468412202e-07,-6.569991502368255,11.263999684574777,6.456719654122964e-07
BA,2026-01-13,89142305.0,239.80999755859375,783071257.0,187788316229.37494,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0004746956934802946,-3.3235847082568415,11.273668567935632,0.0011643608850690317
BA,2026-01-14,712999.72,244.5500030517578,783071257.0,191500078289.0938,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,3.7232346136362194e-06,-5.429079596551616,11.28216895585302,9.313075144659674e-06
BA,2026-01-16,89677820.08999999,247.74000549316406,783071257.0,193998077510.71887,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00046226138547710645,-3.3351123833835272,11.287797426164127,0.001171355687639598
BA,2026-01-21,33426254.3,249.0,783071257.0,194984742993.0,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.00017143010159107686,-3.765912917493993,11.290000630371862,0.0004366077704776708
BA,2026-01-23,250000.0,251.41000366210938,783071257.0,196871947590.0626,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,1.2698609581521667e-06,-5.896243828975573,11.29418383764761,3.2654554004101413e-06
BA,2026-01-26,17167653.619999997,252.14999389648438,783071257.0,197451412673.06235,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.694621824978274e-05,-4.060749303011113,11.295460245258793,0.0002242408289031988
BA,2026-01-27,169310309.10999998,248.42999267578125,783071257.0,194538386641.12482,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,0.0008703182545783913,-3.060321907228538,11.289005309834096,0.002211501052913439
BA,2026-01-28,1625641.19,244.55999755859375,783071257.0,191507904700.12494,12927,RevenueFromContractWithCustomerExcludingAssessedTax,76559000000.0,latest_10k,2020-01-31,8.488637544990797e-06,-5.071162009894476,11.28218670465866,2.123383521205867e-05
