ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_transactions_30d,prior_award_days_30d,pre_volatility_market_20d,relative_strength_spy_60d,relative_strength_spy_120d,prior_response_mean_20d,prior_response_count_60d,event_trading_day,peak_pct,peak_day,day90_pct,actual_winner_ge20,MTS_signal_score,predicted_buy,market_cap_before,log10_market_cap_before,sector_group,prior_response_count_60d_adj,prior_abs_award_median_adj,scaleaware8_MD,scaleaware8_buy,old11_buy
HII,2025-12-05,HUNTINGTON INGALLS INCORPORATED,1,6327165.0,6327165.0,730377721.0,22300601.081470583,3293042.5,47,16,1.7381561161094794,6.25771621697595,19.67087434704236,5.346927231689131,13,2025-12-05,49.43457397749238,57,30.029452079477117,1,0.9118292001817504,0,12303830207.33313,10.090040329241564,AERO_DEFENSE,0.519349102664739,5.293437714303331,13.681260363669494,1,0
HII,2025-12-17,HUNTINGTON INGALLS INCORPORATED,2,18426177.0,18426177.0,730377721.0,21182713.53342105,3536354.5,73,19,1.7777945677496,15.6836526507133,26.39884658968452,4.969855034576573,19,2025-12-17,41.66262125122044,49,13.075950175027009,1,0.9117637415894322,0,12729174874.241455,10.104800252893412,AERO_DEFENSE,0.6841593513107311,5.324396172697114,13.728126033051659,1,0
HII,2025-12-19,HUNTINGTON INGALLS INCORPORATED,1,4520.0,4520.0,730377721.0,21131362.36589744,4299430.5,83,20,1.8738111700190887,20.923343439428034,27.130347276264555,4.975653706226581,21,2025-12-19,35.20313092071898,47,7.452120291520048,1,0.9461771536977148,0,12566749491.708069,10.099222957847395,AERO_DEFENSE,0.7276250450918216,5.4092513115526595,13.807468295160144,1,0
HII,2026-01-06,HUNTINGTON INGALLS INCORPORATED,1,-1029150.0,1029150.0,730377721.0,20894100.41614458,3547772.0,64,14,2.071177346902339,25.653784835089954,34.71906434578955,5.836719865373818,33,2026-01-06,23.816054307520982,37,-10.993141304352372,1,0.8941632407176868,0,14157895752.211487,10.15099871019611,AERO_DEFENSE,0.9239196902357898,5.325796080375373,13.75482365538798,1,0
HII,2026-01-09,HUNTINGTON INGALLS INC,1,-336885.0,336885.0,730377721.0,20185983.971395347,3460278.0,58,15,2.454867938111321,28.02494722307476,43.41647902736503,6.2911134231755215,36,2026-01-09,17.61229799929658,34,-16.55444659154115,0,0.8674995100391752,0,14741771357.580688,10.168549671080854,AERO_DEFENSE,0.9617082511251895,5.314951370123477,13.788977817533928,1,0
HII,2026-01-22,HUNTINGTON INGALLS INCORPORATED,1,1890162.0,1890162.0,730377721.0,18786769.16709677,3061148.0,30,13,2.272622861902728,40.01346114655336,43.89428034909084,8.338570192178294,43,2026-01-22,7.310756970667565,26,-30.2471058530404,0,1.0347373743915853,0,16463792255.37323,10.216529877406558,AERO_DEFENSE,1.038874205937489,5.261724705871667,13.746046511942563,1,0
HII,2026-02-06,HUNTINGTON INGALLS INC,1,-18610.0,18610.0,1115311364.0,30201568.66932039,3383125.0,65,19,3.5461270849959683,23.729682181549137,42.84747808013369,9.013615379537182,51,2026-02-06,14.424888422515192,15,-24.80477514997705,0,1.054227892043955,0,14387741569.81659,10.157992628492416,AERO_DEFENSE,1.1129759264558385,5.305158422986665,13.803768315223277,1,0
HII,2026-02-09,HUNTINGTON INGALLS INCORPORATED,2,416540.0,416540.0,1115311364.0,29911438.807115383,3222136.5,63,17,3.539936187637052,23.828271365681,44.579017726689685,9.12431677406204,51,2026-02-09,12.155102812028073,14,-29.14135916142738,0,1.0133145905365513,0,15494018720.472656,10.19016407636241,AERO_DEFENSE,1.1129759264558385,5.283984313126687,13.783334357012402,1,0
HII,2026-02-13,HUNTINGTON INGALLS INCORPORATED,1,2993612.0,2993612.0,1115311364.0,28951445.221666668,3222136.5,71,19,3.5934600615874905,33.08173196812278,50.31426418871918,9.003441547292743,53,2026-02-13,8.684233111399188,10,-32.85943542940694,0,1.1180543729864647,0,15844200549.83789,10.199870330900692,AERO_DEFENSE,1.1296816199586914,5.283984313126687,13.820516100897892,1,0
HII,2026-02-19,HUNTINGTON INGALLS INCORPORATED,1,17259.0,17259.0,1115311364.0,28225571.50396397,3061148.0,83,20,3.651574666298093,42.258952113972526,55.37160593720862,8.537123700655084,56,2026-02-19,2.7097144191622125,7,-36.36836241903067,0,1.2779020623186832,0,16550404863.761719,10.218808622156873,AERO_DEFENSE,1.1535937773641027,5.261724705871667,13.836515889936805,1,0
